"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"República Checa","CZE","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4036181858368","","","","","22.1213318691699","","","","","20.4367067354614","","","","","19.9465925769154","","","","","20.6768704738304","20.0812466454923","18.7431760787781","17.996286996353","17.3912154857519","17.4164516917418","16.1005837025673","16.0712453523646","",
"Alemania","DEU","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0165236362218","","","","","15.6253702231789","","","","","14.9039348791091","","","","","14.5352084430106","","","","","15.1894949596923","14.6642284358983","13.5776422635013","13.1919194625204","12.751220573963","12.8260975790022","11.9378111237007","12.028767360745","",
"Djibouti","DJI","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8771655864443","","","","","41.2240135446531","","","","","40.9801085585051","","","","","39.1729406755983","","","","","38.2408692688594","40.4418354600315","39.9428207904797","40.103773025949","41.2597275378737","45.9508085109314","45.8688751305626","45.5496175977411","",
"Dominica","DMA","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3414291146345","","","","","22.8656501699093","","","","","22.9554165023243","","","","","23.5628359694142","","","","","23.7407461881154","24.2761229836168","22.2157992533518","22.1510682746978","21.0103074675552","20.6887886262143","19.9881483485513","19.4931537608634","",
"Dinamarca","DNK","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2549303861478","","","","","12.6675474687608","","","","","12.4169394174272","","","","","12.0784280072651","","","","","11.9291481716307","12.6623313832271","11.1155250054339","10.8202788440922","11.0667045307585","10.6572856560768","10.0959719641464","10.0296534385694","",
"República Dominicana","DOM","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4440736558284","","","","","15.7391400637301","","","","","16.4531496034784","","","","","16.5854453705487","","","","","16.8744654587147","17.2997798585331","16.1528399096455","15.3969506332624","14.1880736961777","14.8582207607442","13.6902277245854","13.726321150433","",
"Argelia","DZA","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9302577059946","","","","","36.4565841837832","","","","","37.5360503002013","","","","","35.8588265111515","","","","","33.6358202624012","33.8340477410328","33.3668262043692","34.2453279072063","35.563917177565","36.0891635653848","39.853273847241","38.8840106983002","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4198568573593","","","","","48.8857998124634","","","","","50.0367724730561","","","","","53.8985084530573","","","","","55.8395595842639","56.3798261019927","51.6371944989635","52.4383016503981","48.1199568398043","47.3735830181518","42.3011298888222","42.5423748813805","",
"inicial del dividendo demográfico","EAR","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.5040492182611","","","","","57.2071134931745","","","","","58.074591647933","","","","","61.2272463095741","","","","","64.1572080005068","64.7253727940338","60.2887177095246","61.3113947262402","59.9312595453736","60.5516418702514","59.802363174491","60.2934335646782","",
"Asia oriental y el Pacífico","EAS","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9197683488674","","","","","45.4475474705839","","","","","46.5896598921624","","","","","50.1411247779283","","","","","51.9076375365174","52.4130675690873","48.0541804356452","48.8253577762057","44.8492237677618","44.2196277314789","39.5221848222083","39.7527061246756","",
